Types	TFBgnID	Tchr	Tbeg	Tend	QFBgnID	Qchr	Qbeg	Qend	w1118_f_ac	w1118_f_dg	w1118_f_ge	w1118_f_go	w1118_f_hd	w1118_f_re	w1118_f_tx	w1118_f_wb	w1118_m_ac	w1118_m_dg	w1118_m_ge	w1118_m_go	w1118_m_hd	w1118_m_re	w1118_m_tx	w1118_m_wb	oreR_f_ac	oreR_f_dg	oreR_f_ge	oreR_f_go	oreR_f_hd	oreR_f_re	oreR_f_tx	oreR_f_wb	oreR_m_ac	oreR_m_dg	oreR_m_ge	oreR_m_go	oreR_m_hd	oreR_m_re	oreR_m_tx	oreR_m_wb	dpse_f_ac	dpse_f_dg	dpse_f_go	dpse_f_hd	dpse_f_re	dpse_f_tx	dpse_f_wb	dpse_m_ac	dpse_m_dg	dpse_m_go	dpse_m_hd	dpse_m_re	dpse_m_tx	dpse_m_wb
shared	FBgn0031228	2L	114726	156030	FBgn0071070	4_group3	1700282	1700982	554.59572696715	444.311206208965	389.849653889924	262.413740546627	515.481205369638	388.744963360644	1686.59143023762	752.44096474419	648.381958282178	599.984228862219	966.480093400135	799.287219498828	641.840558345809	482.2575722013	2235.8060186781	881.687804925017	670.257704393448	644.970032989812	496.177467683794	237.601614328039	638.985561953319	486.657436581713	2394.80183426679	491.266493202317	630.179173381576	636.895029789867	900.941918166155	817.391071012611	658.373820173489	533.035154133463	1513.34067299799	773.928360020627	582.753487787734	564.326969123344	181.947929017717	440.667408588194	458.956414632003	1218.14645226055	269.656677470361	590.732428665526	707.129929681888	203.986575237257	473.725572292021	544.173176033197	1373.85110444472	401.432271635463
shared	FBgn0031227	2L	153539	155305	FBgn0077642	4_group3	1701072	1702662	42.7848189067508	39.5066172687741	24.6227493456538	146.22541586056	33.5144752895283	37.8116200983785	36.9655800280726	85.0014787198227	32.6702412154655	27.4589143263125	21.090205326137	194.573434567563	28.4630002581864	56.6217647070342	34.3941116387163	55.0491022483706	50.6001881573598	36.2911213003204	26.0788533530661	33.193273346839	36.5207533893509	41.1181727422638	41.0550049489057	34.7256688063655	31.0360885706078	25.1435296067654	16.2453939781048	128.852596576852	22.4685289164545	53.7670893631607	25.0125056559076	46.8195334557387	70.8630763227457	56.465689475145	128.051821815761	40.2169818564599	49.7405670934354	43.9119064186711	162.994472453145	55.5429406409668	40.4363293578128	79.9227702724533	30.9446697039397	61.6870856842909	33.2740261261952	43.8222618074001
shared	FBgn0016977	2L	159032	203397	FBgn0246567	4_group1	4426046	4470569	1722.12939699803	1785.6683947211	2156.62720367399	1603.75678246015	2666.05647035607	2133.34468786757	1620.63368332685	1234.50818195305	1555.58666493962	1605.50118598347	1641.92410238072	1342.52708315632	2647.70599445918	1963.69204450732	1776.08942073163	1303.80371755011	1478.69121763478	1836.36825398496	1833.31369733737	1935.6060632893	3099.68617550184	2032.58526588138	1943.94809277832	1552.70789186883	1450.36750595644	1975.42065324183	1368.04014957121	1106.02393144717	3255.09837205566	1540.17988566471	2112.73159827593	1296.41655762378	677.421903711204	594.346754200982	832.873595487314	1325.84132479543	418.737243734945	953.932661857067	697.839836420648	594.294980280897	503.437720864955	565.8562508086	1345.59297719497	566.243158033502	829.404351520221	652.417462317408
shared	FBgn0026438	2L	737212	744395	FBgn0076346	4_group3	8981988	8987994	13.7977960527104	2.12761099372767	14.128320001219	0	4074.5489654706	5.1900182728772	969.32964942075	532.904478169604	65.4596862195973	5.45823076199629	24.8719969194114	8.36046613208512	4979.78188903175	0.330140790969615	1460.32009317363	827.716524292607	14.2499479823198	3.17057528786618	5.16790876858464	0	3467.42341016859	4.62938723412124	950.417063728203	244.489917899074	53.8040698522641	10.9906575070696	38.0918949782772	9.87124857789329	3937.57275877181	0.283621838164081	1632.71752738282	904.675802123257	79.3403139315295	0.435481420448273	0	1628.15703893233	16.7562303742356	916.174702285393	109.991886396757	78.0953470491729	1.86403899907764	2.73478005924813	1672.5601944658	28.3914528924792	1036.8360430335	326.140493132849
shared	FBgn0031320	2L	1182297	1184020	FBgn0244051	XL_group1a	6487418	6489377	167.625536588783	230.131058744024	62.0850813134433	140.899361237643	104.805254925602	129.852208791905	100.448505327314	120.175916373628	179.086185205354	264.355718689775	68.7795980032199	49.5106031719604	86.0702397294926	157.457115518449	44.667485142465	90.8622246599354	174.760374714955	141.301992963741	96.7326848495176	150.409524447555	77.9601711335634	130.464745532	69.1864073802805	145.010557412526	203.660293622057	110.989830193081	69.9608575305803	49.125108252022	68.1923347409797	151.111097450867	53.3811020771517	86.0836183270466	190.967214012393	289.582913631124	177.922886794554	93.6704383993549	126.596263419141	89.7200452841225	136.717272371674	90.008200904383	118.934988425367	59.2504525411695	68.3754886364217	100.394331284733	79.1640394041021	55.9004076282619
shared	FBgn0031321	2L	1184065	1185698	FBgn0078548	4_group3	9632371	9634133	72.6251222374215	92.2607100663353	41.6126572630042	98.9125708810866	45.0190698477166	48.1771503817046	44.5733934769161	82.1966562841949	43.0033104217461	52.7334403081655	23.404067960881	37.4608831364041	39.4614281675709	56.626810532911	25.0309305890611	32.6254380977993	44.7688496311516	60.9951794290323	39.4356341318798	106.279891263858	32.703360265152	34.173852058659	30.380211971846	79.1344579042724	51.7942927160348	70.1174765109859	27.1497580823605	32.7845973197791	27.6956469939066	61.6640641722166	32.463774866091	27.3557190822884	53.1330113610679	33.2461210198079	71.7144196107698	24.9608313515566	31.9311511342718	18.9005680403715	85.3283430441541	16.8618138679645	20.2830391261235	46.3502719015262	22.1384152522433	39.5331765992741	7.32763436231595	22.4395478822011
shared	FBgn0031322	2L	1185757	1196807	FBgn0078585	4_group3	9642654	9650602	308.993821034248	277.409277705671	1307.23126428819	32.3972603313202	349.765729559824	695.711143213953	1135.7117087707	207.010515319161	341.596199642041	341.935177875331	1702.61121772332	43.4037940708542	293.397591690399	305.854077844116	932.529577322055	353.182583507741	502.106572688443	363.144569563202	1436.7152019431	32.8538494450111	412.18600889962	760.499628978524	1190.5606202401	243.945558664164	417.767511618918	433.581439051655	2054.70048250684	48.0469443988562	287.126147284657	262.598714435176	1179.12810006531	409.192505696263	228.468068079607	208.40296065244	12.7193979176644	188.625681543205	325.350952316111	560.228213765665	63.7678612016617	275.502172611512	212.523922240301	26.5851210958726	184.038380607577	400.992434050466	679.377394722255	162.764393015106
shared	FBgn0002543	2L	1380086	1420453	FBgn0078914	4_group3	9892684	10032511	189.060458694729	102.815832716517	193.968023828068	11.5346625063324	120.003648013864	80.379874468334	73.796169022372	72.3619994770464	157.413089124315	94.131259346538	193.55864943025	13.4352789800699	109.896283297368	54.3236240901052	85.9182188427245	58.5406768658361	82.5349462102817	275.33118501381	89.3394636686495	10.8835102419628	101.974449956026	51.3378768998982	64.595761846882	41.9904878405016	74.1582444177586	293.862046571193	93.8997775333405	56.9589459700195	97.834628496319	32.153146231276	82.6348909778546	86.6040099178026	16.8593400497643	208.381260433121	18.5309601606488	82.9828948302692	17.9614831062584	24.7258303701175	32.9639651316802	14.7678170605438	73.2816220519514	136.142041947143	81.7779869587171	17.6339475878747	30.8000751159558	79.6553006837503
shared	FBgn0053128	2L	1494070	1495456	FBgn0077316	4_group3	10052154	10053496	0	0	0	3.95556602532159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473314837892233	0	0	0	0.360651241476863	0	0	0	0	0	0	0	0	0	283.818753600981	0.619368929625645	0	0	0	24.7970844355746	0	514.181737695355	1.44002538139229	1.04676346961082	0	1.97909733356939	28.7796492340558
shared	FBgn0051926	2L	1495460	1497071	FBgn0076585	4_group3	10053602	10054978	0	0	0	166.068444501539	0	0	0	0	0	0	0	2.77519580121466	0	0	0	0	0	0	0	101.016251963244	0	0	0	0	0	0	0	0.244035468171139	0	0	0	0	0	5.80565762490205	49.3604164417835	0	0	0	0.714816389397874	0	11.9008150851442	0.80844779004462	0	0	0	1.08504860502676
shared	FBgn0051661	2L	1497243	1498583	FBgn0076390	4_group3	10055259	10056615	0	0	0	141.001382524995	0	0	0	70.4615098129814	0	0	0	0	0	0	0	0	0	0	0	132.682228082294	0	0	0	23.2589550326879	0	0	0	0.328447192326926	0	0	0	0	0	0	86.1233708313842	0	0	0	8.19064910271725	0	0	0	0	0	0	0.239532455829128
